iter	Passed	Remaining
475	680	748
476	681	747
477	682	745
478	683	743
479	684	741
480	685	739
481	686	738
482	687	736
483	689	734
484	690	732
485	691	731
486	692	729
487	693	727
488	695	726
489	696	725
490	697	723
491	698	721
492	699	719
493	701	718
494	702	716
495	703	714
496	704	713
497	705	711
498	707	709
499	708	708
500	709	706
501	710	705
502	712	703
503	713	702
504	714	700
505	715	698
506	716	696
507	717	694
508	718	693
509	720	691
510	721	690
511	722	688
512	723	687
513	725	686
514	726	684
515	727	682
516	728	680
517	729	679
518	730	677
519	732	675
520	733	674
521	734	672
522	735	670
523	736	668
524	737	667
525	738	665
526	740	664
527	741	662
528	742	661
529	743	659
530	745	658
531	746	656
532	747	654
533	748	653
534	749	651
535	751	650
536	752	648
537	753	647
538	755	646
539	756	644
540	758	643
541	759	641
542	760	640
543	762	638
544	763	637
545	764	635
546	765	634
547	767	632
548	768	631
549	770	630
550	771	628
551	773	627
552	774	626
553	776	624
554	777	623
555	778	621
556	779	620
557	781	618
558	782	617
559	784	616
560	785	614
561	786	613
562	788	611
563	789	610
564	790	608
565	792	607
566	793	605
567	794	604
568	795	602
569	797	601
570	799	600
571	800	599
572	801	597
573	803	596
574	804	594
575	806	593
576	807	591
577	808	590
578	809	588
579	810	587
580	812	586
581	813	584
582	815	583
583	816	581
584	817	580
585	819	578
586	820	577
587	821	575
588	823	574
589	824	572
590	825	571
591	827	569
592	828	568
593	830	567
594	831	566
595	833	564
596	834	563
597	835	561
598	836	560
599	838	558
600	839	557
601	840	555
602	842	554
603	843	553
604	845	551
605	846	550
606	847	548
607	848	547
608	850	545
609	851	544
610	852	542
611	853	541
612	855	539
613	857	538
614	858	537
615	859	536
616	861	534
617	862	533
618	863	531
619	865	530
620	866	528
621	867	527
622	868	525
623	870	524
624	871	523
625	873	521
626	874	520
627	875	518
628	876	517
629	878	515
630	879	514
631	880	512
632	881	511
633	883	509
634	884	508
635	886	507
636	887	505
637	888	504
638	890	502
639	891	501
640	892	499
641	894	498
642	895	497
643	896	495
644	898	494
645	899	492
646	901	491
647	902	490
648	903	488
649	905	487
650	906	485
651	907	484
652	908	482
653	909	481
654	911	480
655	912	478
656	914	477
657	916	476
658	918	475
659	919	473
660	920	472
661	921	470
662	923	469
663	924	467
664	925	466
665	927	464
666	928	463
667	930	462
668	931	461
669	933	459
670	934	458
671	935	456
672	937	455
673	938	453
674	939	452
675	941	451
676	942	449
677	944	448
678	946	447
679	947	446
680	949	444
681	950	443
682	952	441
683	953	440
684	954	439
685	956	437
686	957	436
687	958	434
688	960	433
689	962	432
690	963	430
691	965	429
692	966	428
693	968	427
694	970	425
695	971	424
696	973	423
697	974	421
698	976	420
699	977	418
700	978	417
701	980	416
702	982	414
703	983	413
704	985	412
705	986	410
706	988	409
707	989	408
708	991	406
709	992	405
710	994	404
711	995	402
712	997	401
713	998	399
714	999	398
715	1001	397
716	1002	395
717	1004	394
718	1006	393
719	1007	391
720	1009	390
721	1010	389
722	1012	387
723	1014	386
724	1015	385
725	1017	384
726	1019	382
727	1021	381
728	1022	380
729	1024	378
730	1025	377
731	1026	375
732	1028	374
733	1029	373
734	1030	371
735	1032	370
736	1034	369
737	1035	367
738	1036	366
739	1038	364
740	1039	363
741	1040	361
742	1042	360
743	1043	359
744	1044	357
745	1046	356
746	1048	355
747	1049	353
748	1051	352
749	1052	350
750	1053	349
751	1055	347
752	1056	346
753	1057	345
754	1059	343
755	1060	342
756	1062	341
757	1064	339
758	1065	338
759	1067	337
760	1069	335
761	1071	334
762	1073	333
763	1075	332
764	1077	331
765	1079	329
